subject_id,model,condition,temperature,det_rate,fa_rate
Haiku_c1_safety_t0_2026-06-09T04:58:29.893Z,Haiku,c1_safety,0,0.7272727272727273,0.0303030303030303
Haiku_c1_safety_t0_2026-06-09T04:59:42.393Z,Haiku,c1_safety,0,0.8181818181818182,0.0303030303030303
Haiku_c1_safety_t0_2026-06-09T05:01:04.107Z,Haiku,c1_safety,0,0.8181818181818182,0.03636363636363636
Haiku_c1_safety_t0_2026-06-09T05:02:15.688Z,Haiku,c1_safety,0,0.8181818181818182,0.024242424242424242
Haiku_c1_safety_t0_2026-06-09T05:03:30.647Z,Haiku,c1_safety,0,0.8181818181818182,0.03636363636363637
Haiku_c1_safety_t0_2026-06-09T05:04:39.846Z,Haiku,c1_safety,0,0.8181818181818182,0.018181818181818184
Haiku_c1_safety_t0_2026-06-09T05:05:57.251Z,Haiku,c1_safety,0,0.8181818181818182,0.024242424242424242
Haiku_c1_safety_t0_2026-06-09T05:07:19.343Z,Haiku,c1_safety,0,0.8181818181818182,0.048484848484848485
Haiku_c1_safety_t0_2026-06-09T05:09:57.905Z,Haiku,c1_safety,0,1.0,0.0303030303030303
Haiku_c1_safety_t0_2026-06-09T05:11:05.929Z,Haiku,c1_safety,0,0.7272727272727273,0.018181818181818184
Haiku_c1_safety_t1_2026-06-09T06:42:07.459Z,Haiku,c1_safety,1,0.8181818181818182,0.018181818181818184
Haiku_c1_safety_t1_2026-06-09T06:43:36.656Z,Haiku,c1_safety,1,0.8181818181818182,0.04242424242424243
Haiku_c1_safety_t1_2026-06-09T06:44:54.070Z,Haiku,c1_safety,1,0.8181818181818182,0.024242424242424242
Haiku_c1_safety_t1_2026-06-09T06:46:04.728Z,Haiku,c1_safety,1,0.9090909090909091,0.0303030303030303
Haiku_c1_safety_t1_2026-06-09T06:47:24.290Z,Haiku,c1_safety,1,0.7272727272727273,0.048484848484848485
Haiku_c1_safety_t1_2026-06-09T06:49:05.972Z,Haiku,c1_safety,1,1.0,0.048484848484848485
Haiku_c1_safety_t1_2026-06-09T06:50:37.514Z,Haiku,c1_safety,1,0.9090909090909091,0.018181818181818184
Haiku_c1_safety_t1_2026-06-09T06:52:04.759Z,Haiku,c1_safety,1,0.9090909090909091,0.03636363636363637
Haiku_c1_safety_t1_2026-06-09T06:53:39.080Z,Haiku,c1_safety,1,1.0,0.07272727272727272
Haiku_c1_safety_t1_2026-06-09T06:55:00.168Z,Haiku,c1_safety,1,0.8181818181818182,0.06666666666666667
